product-name,url,description
One plus CE3,https://m.media-amazon.com/images/I/510YZx4v3wL._SX679_.jpg,"Labels: 'Mobile phone', 'Telephony', 'Communication Device', 'Portable communications device', 'Mobile device', 'Gadget', 'Telephone', 'Camera', 'Smartphone', 'Camera lens', Texts: , Logos: 'OnePlus', Objects: 'Mobile phone'"
Samsung galaxy,https://m.media-amazon.com/images/I/71td5npKu6L._SY741_.jpg,"Labels: 'Communication Device', 'Rectangle', 'Gadget', 'Font', 'Gas', 'Netbook', 'Major appliance', 'Electric blue', 'Metal', 'Circle', Texts: 'SAMSUNG', 'SAMSUNG', Logos: 'Samsung', Objects: 'Mobile phone'"
Samsung S24,https://m.media-amazon.com/images/I/81vxWpPpgNL._SX679_.jpg,"Labels: 'Font', 'Rectangle', 'Audio equipment', 'Triangle', 'Output device', 'Electronic device', 'Gadget', 'Eyelash', 'Multimedia', 'Circle', Texts: 'SAMSUNG\nGalaxy\nS24 Ultra\nGalaxy Al is here', 'SAMSUNG', 'Galaxy', 'S24', 'Ultra', 'Galaxy', 'Al', 'is', 'here', Logos: 'Samsung', 'Samsung', 'Samsung', Objects: "
HP Laptop 15s,https://m.media-amazon.com/images/I/71oQh8WFlyL._SX679_.jpg,"Labels: 'Computer', 'Laptop', 'Personal computer', 'Output device', 'Peripheral', 'Input device', 'Touchpad', 'Space bar', 'Font', 'Computer hardware', Texts: ""India's\nNo.1\nBrand\nhp\nintel.\nCORE\n13\n*Market Share Report 2024\n11.0\nF\nG\nH\nK\nL\nA"", ""India's"", 'No.1', 'Brand', 'hp', 'intel', '.', 'CORE', '13', '*', 'Market', 'Share', 'Report', '2024', '11.0', 'F', 'G', 'H', 'K', 'L', 'A', Logos: 'Hewlett-Packard', Objects: 'Laptop'"
HP Laptop 15,https://m.media-amazon.com/images/I/61Cs3B5GHhL._SX679_.jpg,"Labels: 'Computer', 'Laptop', 'Personal computer', 'Output device', 'Touchpad', 'Peripheral', 'Input device', 'Space bar', 'Webcam', 'Netbook', Texts: ""India's\nNo. 1\nBrand\nhp\nintel.\nCORE\nD\n0\nB\nY\nH\nK\n9\nN\nM"", ""India's"", 'No.', '1', 'Brand', 'hp', 'intel', '.', 'CORE', 'D', '0', 'B', 'Y', 'H', 'K', '9', 'N', 'M', Logos: 'Hewlett-Packard', Objects: 'Laptop'"
Apple 2022 MacBook Air Laptop,https://m.media-amazon.com/images/I/61P2ia5kurL._SX679_.jpg,"Labels: 'Rectangle', 'Font', 'Electronic device', 'Logo', 'Multimedia', 'Brand', 'Gadget', 'Graphics', 'Screenshot', 'Diagram', Texts: ""What's in the Box\nUSB-C Power Adapter\nUSB-C to MagSafe 3 Cable (2 m)\nImage is for visual representation purpose only. The actual accessory may vary."", ""What's"", 'in', 'the', 'Box', 'USB', '-', 'C', 'Power', 'Adapter', 'USB', '-', 'C', 'to', 'MagSafe', '3', 'Cable', '(', '2', 'm', ')', 'Image', 'is', 'for', 'visual', 'representation', 'purpose', 'only', '.', 'The', 'actual', 'accessory', 'may', 'vary', '.', Logos: , Objects: "
DELL Latitude 5490 Core i5 8th Gen Laptop,https://m.media-amazon.com/images/I/418cc1MvF1L._SX679_.jpg,"Labels: 'Laptop', 'Computer', 'Personal computer', 'Output device', 'Netbook', 'Touchpad', 'Peripheral', 'Flat panel display', 'Gadget', 'Computer monitor accessory', Texts: 'DELL\nDELL', 'DELL', 'DELL', Logos: 'Dell', 'Dell', Objects: 'Laptop'"
Dell 14 Thin & Light Laptop,https://m.media-amazon.com/images/I/71Eu1-dfTmL._SX679_.jpg,"Labels: 'Computer', 'Personal computer', 'Output device', 'Laptop', 'Gadget', 'Computer hardware', 'Laptop part', 'Font', 'Electronic instrument', 'Laptop accessory', Texts: ""DELL\nTechnologies\n#1 INDIA'S MOST\nTRUSTED BRAND*\n*Brand Trust Report 2024\nW\nX\nP\nWord\nExcel\nPowerPoint\nOffice Home & Student 2021 Pre-Installed"", 'DELL', 'Technologies', '#', '1', ""INDIA'S"", 'MOST', 'TRUSTED', 'BRAND', '*', '*', 'Brand', 'Trust', 'Report', '2024', 'W', 'X', 'P', 'Word', 'Excel', 'PowerPoint', 'Office', 'Home', '&', 'Student', '2021', 'Pre', '-', 'Installed', Logos: 'Dell', Objects: 'Laptop'"
ASUS VivoBook 15 (2021) Thin and Light Laptop,https://m.media-amazon.com/images/I/71lYhcc++AL._SX679_.jpg,"Labels: 'Computer', 'Laptop', 'Personal computer', 'Output device', 'Netbook', 'Input device', 'Gadget', 'Laptop part', 'Font', 'Computer hardware', Texts: 'BEST\nOF TECH\nASUS\nV I V O B O O K\nASUS', 'BEST', 'OF', 'TECH', 'ASUS', 'V', 'I', 'V', 'O', 'B', 'O', 'O', 'K', 'ASUS', Logos: 'Asus', 'Asus', 'Asus', Objects: 'Laptop'"
"Lenovo ThinkPad E14 Intel Core i5 12th Gen 14"" FHD Thin and Light Laptop",https://m.media-amazon.com/images/I/617Af4lsBNL._SX679_.jpg,"Labels: 'Computer', 'Personal computer', 'Laptop', 'Touchpad', 'Output device', 'Peripheral', 'Input device', 'Netbook', 'Space bar', 'Gesture', Texts: 'intel.\nCORE\n15\nThinkPad\nE14', 'intel', '.', 'CORE', '15', 'ThinkPad', 'E14', Logos: 'Lenovo ThinkPad', 'Lenovo ThinkPad', Objects: 'Laptop'"
"Lenovo ThinkPad E14 Intel Core i3 12th Gen 14"" FHD Thin and Light Laptop",https://m.media-amazon.com/images/I/518BYF8LHRL._SY450_.jpg,"Labels: 'Computer', 'Personal computer', 'Laptop', 'Touchpad', 'Output device', 'Input device', 'Peripheral', 'Space bar', 'Netbook', 'Computer keyboard', Texts: 'ThinkPad', 'ThinkPad', Logos: 'Lenovo ThinkPad', Objects: 'Laptop'"
ASUS Vivobook Pro 15 AMD Ryzen 7,https://m.media-amazon.com/images/I/61eTPcEsC+L._SX679_.jpg,"Labels: 'Computer', 'Personal computer', 'Output device', 'Font', 'Laptop', 'Computer keyboard', 'Electronic instrument', 'Computer hardware', 'Office equipment', 'Display device', Texts: 'BEST\nOF TECH\nASUS\nNVIDIA.\nV I V O B O O K\nVIV\nSTUDIO\nASUS Vivobook', 'BEST', 'OF', 'TECH', 'ASUS', 'NVIDIA', '.', 'V', 'I', 'V', 'O', 'B', 'O', 'O', 'K', 'VIV', 'STUDIO', 'ASUS', 'Vivobook', Logos: 'Asus', 'Nvidia', Objects: 'Laptop'"
Lenovo Yoga Slim 7 Pro Intel Evo Core i5-11320H,https://m.media-amazon.com/images/I/51qPrXE56-L._SX679_.jpg,"Labels: 'Computer', 'Personal computer', 'Laptop', 'Touchpad', 'Output device', 'Input device', 'Space bar', 'Laptop accessory', 'Peripheral', 'Gadget', Texts: 'Lenovo\nYOGɅ\nintel\nevo\ncote\n4\nG\nラ\nB\n9\nQ\nW\nE\nR\nT\nY\nU\nO\nP\nS\nD\nF\nG\nH\nJ\nK\nL\nx\nC\nB\nN\nM\nA\nGu\nLenovo', 'Lenovo', 'YOGɅ', 'intel', 'evo', 'cote', '4', 'G', 'ラ', 'B', '9', 'Q', 'W', 'E', 'R', 'T', 'Y', 'U', 'O', 'P', 'S', 'D', 'F', 'G', 'H', 'J', 'K', 'L', 'x', 'C', 'B', 'N', 'M', 'A', 'Gu', 'Lenovo', Logos: 'Lenovo K6 Power', Objects: 'Laptop'"
LG 164 cm (65 inches) 4K Ultra HD Smart LED TV,https://m.media-amazon.com/images/I/8195aYGDl9L._SX450_.jpg,"Labels: 'Line', 'Font', 'Magenta', 'Violet', 'Rectangle', 'Tints and shades', 'Terrestrial plant', 'Pattern', 'Electric blue', 'Graphics', Texts: 'LG UHD AT Thing\n4K Smart TV\nGen6\nAl Processor 4K 60HZ\nREFRESH RATE\nGame\nOptimizer', 'LG', 'UHD', 'AT', 'Thing', '4K', 'Smart', 'TV', 'Gen6', 'Al', 'Processor', '4K', '60HZ', 'REFRESH', 'RATE', 'Game', 'Optimizer', Logos: , Objects: 'Television'"
